Year,Oil brent price ($/bbl),Cononut oil ($/mt),Sugar ($/kg),Us crude oil reserves,Quantity oil embarked (million of tons),Quantity goods embarked (million of tons),Pandemic (covid),War,Electric car registrations,World imports,World exports,Value of Solar Consumption (EJ),Inflation,Value of Wind Consumption (EJ),Value of Nuclear Consumption (EJ),Value of Natural Gas Consumption (BcF),Population,OPEC cuts on production,Price gold,GDP Growth,Crude oil and NGL production,World-oil demand,Value of Freight Transport
1970,1.21,405.8,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,34.99,3.968558097,2490.52,2379.4,10172892
1970.083333,1.21,406.28,0.07,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,34.99,3.968558097,2490.52,2379.4,10172892
1970.166667,1.21,406.28,0.07,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.2,3.968558097,2490.52,2379.4,10172892
1970.25,1.21,406.28,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.3,3.968558097,2490.52,2379.4,10172892
1970.333333,1.21,399.19,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.85,3.968558097,2490.52,2379.4,10172892
1970.416667,1.21,389.74,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.45,3.968558097,2490.52,2379.4,10172892
1970.5,1.21,389.74,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.49,3.968558097,2490.52,2379.4,10172892
1970.583333,1.21,377.93,0.08,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.3,3.968558097,2490.52,2379.4,10172892
1970.666667,1.21,381,0.09,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,35.8,3.968558097,2490.52,2379.4,10172892
1970.75,1.21,398.48,0.09,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,36.4,3.968558097,2490.52,2379.4,10172892
1970.833333,1.21,401.56,0.09,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,37.25,3.968558097,2490.52,2379.4,10172892
1970.916667,1.21,403.92,0.09,39001,1207,2605,0,0,0,330424.271,318152.891,0,6,0,0.727977777,93.02551369,3695380,0,37.54,3.968558097,2490.52,2379.4,10172892
1971,1.64,409.82,0.1,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,37.38,4.276266213,2490.52,2379.4,11177631.9
1971.083333,1.64,393.4,0.11,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,38.5,4.276266213,2490.52,2379.4,11177631.9
1971.166667,1.64,401.56,0.1,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,38.8,4.276266213,2490.52,2379.4,11177631.9
1971.25,1.64,388.8,0.1,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,1,38.88,4.276266213,2490.52,2379.4,11177631.9
1971.333333,1.64,359.04,0.1,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,39.7,4.276266213,2490.52,2379.4,11177631.9
1971.416667,1.64,354.31,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,40.84,4.276266213,2490.52,2379.4,11177631.9
1971.5,1.74,351.01,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,40.1,4.276266213,2490.52,2379.4,11177631.9
1971.583333,1.74,355.49,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,42.4,4.276266213,2490.52,2379.4,11177631.9
1971.666667,1.74,356.72,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,40.65,4.276266213,2490.52,2379.4,11177631.9
1971.75,1.74,357.94,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,42.6,4.276266213,2490.52,2379.4,11177631.9
1971.833333,1.74,358.23,0.09,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,42.34,4.276266213,2490.52,2379.4,11177631.9
1971.916667,1.74,300,0.13,38063,1210,2692,0,0,0,366647.672,354735.424,0,4,0,1.030800348,99.58928624,3770151,0,43.6,4.276266213,2490.52,2379.4,11177631.9
1972,1.77,300,0.17,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,43.55,5.616072402,2633.79,2557.57,12693601.7
1972.083333,1.77,250,0.18,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,47.15,5.616072402,2633.79,2557.57,12693601.7
1972.166667,1.77,210,0.19,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,48.2,5.616072402,2633.79,2557.57,12693601.7
1972.25,1.77,200,0.16,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,48.38,5.616072402,2633.79,2557.57,12693601.7
1972.333333,1.77,220,0.15,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,49.6,5.616072402,2633.79,2557.57,12693601.7
1972.416667,1.77,248.46,0.14,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,59.45,5.616072402,2633.79,2557.57,12693601.7
1972.5,1.87,222.41,0.12,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,64.65,5.616072402,2633.79,2557.57,12693601.7
1972.583333,1.87,217.02,0.14,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,68.3,5.616072402,2633.79,2557.57,12693601.7
1972.666667,1.87,226,0.16,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,66.88,5.616072402,2633.79,2557.57,12693601.7
1972.75,1.87,232,0.16,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,64.2,5.616072402,2633.79,2557.57,12693601.7
1972.833333,1.87,234.96,0.16,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,64.39,5.616072402,2633.79,2557.57,12693601.7
1972.916667,1.87,247.87,0.2,36339,1321,2874,0,0,0,433134.963,419844.829,0,3,0,1.416245534,104.8027636,3844790,0,63.6,5.616072402,2633.79,2557.57,12693601.7
1973,2.08,231,0.21,35300,1514,3274,0,0,0,596048.778,581876.317,0,6,0,1.904122409,110.0834229,3920242,0,64.9,6.407433514,2870.44,2761.14,15696286.2
1973.083333,2.08,299,0.2,35300,1514,3274,0,0,0,596048.778,581876.317,0,6,0,1.904122409,110.0834229,3920242,0,66,6.407433514,2870.44,2761.14,15696286.2
1973.166667,2.08,315,0.19,35300,1514,3274,0,0,0,596048.778,581876.317,0,6,0,1.904122409,110.0834229,3920242,0,85,6.407433514,2870.44,2761.14,15696286.2
1973.25,2.35,360,0.2,35300,1514,3274,0,0,0,596048.778,581876.317,0,6,0,1.904122409,110.0834229,3920242,0,90,6.407433514,2870.44,2761.14,15696286.2
1973.333333,2.35,416,0.2,35300,1514,3274,0,0,0,596048.778,581876.317,0,6,0,1.904122409,110.0834229,3920242,0,90.72,6.407433514,2870.44,2761.14,15696286.2
